date,client_id,campaign_id,ad_id,creative_id,spend,impressions,clicks,landing_page_views,add_to_carts,purchases,revenue,data_type
2026-08-28,brio,brio_cmp_001,brio_ad_001,brio_cr_001,27.45,1724,20,19,0,0,0,demo_synthetic
2026-08-29,brio,brio_cmp_001,brio_ad_001,brio_cr_001,42.42,2419,26,25,0,1,256.6,demo_synthetic
2026-08-30,brio,brio_cmp_001,brio_ad_001,brio_cr_001,35.17,1993,19,18,0,0,0,demo_synthetic
2026-08-31,brio,brio_cmp_001,brio_ad_001,brio_cr_001,41.05,2610,37,32,0,0,0,demo_synthetic
2026-09-01,brio,brio_cmp_001,brio_ad_001,brio_cr_001,36.63,2177,38,34,1,0,0,demo_synthetic
2026-09-02,brio,brio_cmp_001,brio_ad_001,brio_cr_001,37.32,2233,39,35,3,0,0,demo_synthetic
2026-09-03,brio,brio_cmp_001,brio_ad_001,brio_cr_001,37.55,2331,24,22,2,0,0,demo_synthetic
2026-09-04,brio,brio_cmp_001,brio_ad_001,brio_cr_001,31.94,1997,23,23,0,0,0,demo_synthetic
2026-09-05,brio,brio_cmp_001,brio_ad_001,brio_cr_001,40.11,2261,28,27,0,0,0,demo_synthetic
2026-09-06,brio,brio_cmp_001,brio_ad_001,brio_cr_001,32.84,2104,27,24,0,0,0,demo_synthetic
2026-09-07,brio,brio_cmp_001,brio_ad_001,brio_cr_001,39.39,2448,20,19,1,0,0,demo_synthetic
2026-09-08,brio,brio_cmp_001,brio_ad_001,brio_cr_001,35.52,2236,40,33,0,1,280.35,demo_synthetic
2026-09-09,brio,brio_cmp_001,brio_ad_001,brio_cr_001,35.57,2257,28,26,1,0,0,demo_synthetic
2026-09-10,brio,brio_cmp_001,brio_ad_001,brio_cr_001,40.11,2209,26,24,2,0,0,demo_synthetic
2026-09-11,brio,brio_cmp_001,brio_ad_001,brio_cr_001,29.85,1641,29,27,2,0,0,demo_synthetic
2026-09-12,brio,brio_cmp_001,brio_ad_001,brio_cr_001,33.77,1981,27,24,2,0,0,demo_synthetic
2026-09-13,brio,brio_cmp_001,brio_ad_001,brio_cr_001,41.04,2868,39,38,1,0,0,demo_synthetic
2026-07-16,brio,brio_cmp_001,brio_ad_002,brio_cr_002,24.48,1750,29,29,2,0,0,demo_synthetic
2026-07-17,brio,brio_cmp_001,brio_ad_002,brio_cr_002,45.01,3413,60,58,5,0,0,demo_synthetic
2026-07-18,brio,brio_cmp_001,brio_ad_002,brio_cr_002,39.21,3392,68,66,1,0,0,demo_synthetic
2026-07-19,brio,brio_cmp_001,brio_ad_002,brio_cr_002,38.87,3120,57,49,1,0,0,demo_synthetic
2026-07-20,brio,brio_cmp_001,brio_ad_002,brio_cr_002,40.52,3055,66,62,1,0,0,demo_synthetic
2026-07-21,brio,brio_cmp_001,brio_ad_002,brio_cr_002,38.11,3158,61,55,3,0,0,demo_synthetic
2026-07-22,brio,brio_cmp_001,brio_ad_002,brio_cr_002,35.9,3308,67,61,4,0,0,demo_synthetic
2026-07-23,brio,brio_cmp_001,brio_ad_002,brio_cr_002,30.36,2536,53,51,3,0,0,demo_synthetic
2026-07-24,brio,brio_cmp_001,brio_ad_002,brio_cr_002,36.15,2962,50,44,4,0,0,demo_synthetic
2026-07-25,brio,brio_cmp_001,brio_ad_002,brio_cr_002,31.91,2427,61,59,2,0,0,demo_synthetic
2026-07-26,brio,brio_cmp_001,brio_ad_002,brio_cr_002,39.71,3094,53,47,2,0,0,demo_synthetic
2026-07-27,brio,brio_cmp_001,brio_ad_002,brio_cr_002,31.52,2433,48,47,4,0,0,demo_synthetic
2026-07-28,brio,brio_cmp_001,brio_ad_002,brio_cr_002,49.36,3396,70,67,5,0,0,demo_synthetic
2026-07-29,brio,brio_cmp_001,brio_ad_002,brio_cr_002,36.17,2865,44,41,4,0,0,demo_synthetic
2026-07-30,brio,brio_cmp_001,brio_ad_002,brio_cr_002,41.36,3375,59,53,2,0,0,demo_synthetic
2026-07-31,brio,brio_cmp_001,brio_ad_002,brio_cr_002,38.13,3032,56,48,1,0,0,demo_synthetic
2026-08-01,brio,brio_cmp_001,brio_ad_002,brio_cr_002,41.3,3278,51,48,2,1,294.85,demo_synthetic
2026-08-02,brio,brio_cmp_001,brio_ad_002,brio_cr_002,37.76,2891,53,47,1,0,0,demo_synthetic
2026-08-03,brio,brio_cmp_001,brio_ad_002,brio_cr_002,39.13,2932,61,53,3,0,0,demo_synthetic
2026-08-04,brio,brio_cmp_001,brio_ad_002,brio_cr_002,38.29,3443,55,52,2,0,0,demo_synthetic
2026-08-05,brio,brio_cmp_001,brio_ad_002,brio_cr_002,41.79,3404,50,46,3,0,0,demo_synthetic
2026-08-06,brio,brio_cmp_001,brio_ad_002,brio_cr_002,33.15,2565,57,53,3,0,0,demo_synthetic
2026-08-07,brio,brio_cmp_001,brio_ad_002,brio_cr_002,38.89,3072,57,52,2,0,0,demo_synthetic
2026-08-08,brio,brio_cmp_001,brio_ad_002,brio_cr_002,37.24,3021,57,53,3,0,0,demo_synthetic
2026-08-09,brio,brio_cmp_001,brio_ad_002,brio_cr_002,45.16,3409,78,71,6,0,0,demo_synthetic
2026-08-10,brio,brio_cmp_001,brio_ad_002,brio_cr_002,34.07,2748,44,42,2,1,287.77,demo_synthetic
2026-08-11,brio,brio_cmp_001,brio_ad_002,brio_cr_002,40.54,3230,68,63,3,1,317.02,demo_synthetic
2026-08-12,brio,brio_cmp_001,brio_ad_002,brio_cr_002,44.81,3166,74,72,4,0,0,demo_synthetic
2026-08-13,brio,brio_cmp_001,brio_ad_002,brio_cr_002,38.95,2973,77,71,2,0,0,demo_synthetic
2026-08-14,brio,brio_cmp_001,brio_ad_002,brio_cr_002,38.66,3177,61,60,1,0,0,demo_synthetic
2026-08-15,brio,brio_cmp_001,brio_ad_002,brio_cr_002,35.81,2702,50,48,2,0,0,demo_synthetic
2026-08-16,brio,brio_cmp_001,brio_ad_002,brio_cr_002,37.19,3793,90,84,3,1,263.07,demo_synthetic
2026-08-17,brio,brio_cmp_001,brio_ad_002,brio_cr_002,35.88,2833,55,45,3,0,0,demo_synthetic
2026-08-18,brio,brio_cmp_001,brio_ad_002,brio_cr_002,36.49,2481,31,28,1,1,301.03,demo_synthetic
2026-08-19,brio,brio_cmp_001,brio_ad_002,brio_cr_002,40.74,3490,73,66,5,0,0,demo_synthetic
2026-08-20,brio,brio_cmp_001,brio_ad_002,brio_cr_002,35.93,3095,55,51,4,0,0,demo_synthetic
2026-08-21,brio,brio_cmp_001,brio_ad_002,brio_cr_002,31.67,2537,41,39,2,0,0,demo_synthetic
2026-08-22,brio,brio_cmp_001,brio_ad_002,brio_cr_002,43.38,3099,67,61,4,0,0,demo_synthetic
2026-08-23,brio,brio_cmp_001,brio_ad_002,brio_cr_002,37.52,3065,71,65,4,1,272.63,demo_synthetic
2026-08-24,brio,brio_cmp_001,brio_ad_002,brio_cr_002,37.26,2841,47,43,3,0,0,demo_synthetic
2026-08-25,brio,brio_cmp_001,brio_ad_002,brio_cr_002,41.22,3372,60,51,3,0,0,demo_synthetic
2026-08-26,brio,brio_cmp_001,brio_ad_002,brio_cr_002,36.02,2628,70,61,3,0,0,demo_synthetic
2026-08-27,brio,brio_cmp_001,brio_ad_002,brio_cr_002,42.01,3080,76,68,7,0,0,demo_synthetic
2026-08-28,brio,brio_cmp_001,brio_ad_002,brio_cr_002,29.75,2164,51,43,3,0,0,demo_synthetic
2026-08-29,brio,brio_cmp_001,brio_ad_002,brio_cr_002,38.77,3360,51,47,3,0,0,demo_synthetic
2026-08-30,brio,brio_cmp_001,brio_ad_002,brio_cr_002,39.98,3554,60,59,2,1,305.36,demo_synthetic
2026-08-31,brio,brio_cmp_001,brio_ad_002,brio_cr_002,31.39,3174,66,59,2,1,280.42,demo_synthetic
2026-09-01,brio,brio_cmp_001,brio_ad_002,brio_cr_002,35.23,2522,48,44,2,1,257.8,demo_synthetic
2026-09-02,brio,brio_cmp_001,brio_ad_002,brio_cr_002,36.13,2736,54,50,1,0,0,demo_synthetic
2026-09-03,brio,brio_cmp_001,brio_ad_002,brio_cr_002,37.35,3149,70,61,3,0,0,demo_synthetic
2026-09-04,brio,brio_cmp_001,brio_ad_002,brio_cr_002,37.52,2854,69,61,3,0,0,demo_synthetic
2026-09-05,brio,brio_cmp_001,brio_ad_002,brio_cr_002,39.52,3404,58,52,1,0,0,demo_synthetic
2026-09-06,brio,brio_cmp_001,brio_ad_002,brio_cr_002,43.57,3257,66,63,3,1,306.97,demo_synthetic
2026-09-07,brio,brio_cmp_001,brio_ad_002,brio_cr_002,39.1,3000,54,49,0,0,0,demo_synthetic
2026-09-08,brio,brio_cmp_001,brio_ad_002,brio_cr_002,37.67,2679,52,46,1,1,275.13,demo_synthetic
2026-09-09,brio,brio_cmp_001,brio_ad_002,brio_cr_002,41.59,3265,80,69,3,0,0,demo_synthetic
2026-09-10,brio,brio_cmp_001,brio_ad_002,brio_cr_002,34.79,2841,55,49,3,1,296.19,demo_synthetic
2026-09-11,brio,brio_cmp_001,brio_ad_002,brio_cr_002,34.08,2495,51,47,4,0,0,demo_synthetic
2026-09-12,brio,brio_cmp_001,brio_ad_002,brio_cr_002,32.69,2586,59,51,3,0,0,demo_synthetic
2026-09-13,brio,brio_cmp_001,brio_ad_002,brio_cr_002,37.52,2914,76,75,4,0,0,demo_synthetic
2026-07-16,brio,brio_cmp_001,brio_ad_003,brio_cr_003,29.9,1920,25,25,1,0,0,demo_synthetic
2026-07-17,brio,brio_cmp_001,brio_ad_003,brio_cr_003,30.18,2008,38,35,3,0,0,demo_synthetic
2026-07-18,brio,brio_cmp_001,brio_ad_003,brio_cr_003,44.69,2920,43,37,1,0,0,demo_synthetic
2026-07-19,brio,brio_cmp_001,brio_ad_003,brio_cr_003,37.71,2444,34,32,3,0,0,demo_synthetic
2026-07-20,brio,brio_cmp_001,brio_ad_003,brio_cr_003,37.03,2296,52,47,3,0,0,demo_synthetic
2026-07-21,brio,brio_cmp_001,brio_ad_003,brio_cr_003,38.27,2612,56,56,2,0,0,demo_synthetic
2026-07-22,brio,brio_cmp_001,brio_ad_003,brio_cr_003,38.46,2425,38,33,7,0,0,demo_synthetic
2026-07-23,brio,brio_cmp_001,brio_ad_003,brio_cr_003,40.31,2638,47,43,2,1,247.19,demo_synthetic
2026-07-24,brio,brio_cmp_001,brio_ad_003,brio_cr_003,37.6,2539,50,41,4,0,0,demo_synthetic
2026-07-25,brio,brio_cmp_001,brio_ad_003,brio_cr_003,36.91,2443,37,33,4,1,255.02,demo_synthetic
2026-07-26,brio,brio_cmp_001,brio_ad_003,brio_cr_003,39.85,2443,29,22,2,0,0,demo_synthetic
2026-07-27,brio,brio_cmp_001,brio_ad_003,brio_cr_003,41.25,2691,46,39,3,0,0,demo_synthetic
2026-07-28,brio,brio_cmp_001,brio_ad_003,brio_cr_003,46.77,3281,57,54,1,0,0,demo_synthetic
2026-07-29,brio,brio_cmp_001,brio_ad_003,brio_cr_003,43.34,2858,43,39,3,0,0,demo_synthetic
2026-07-30,brio,brio_cmp_001,brio_ad_003,brio_cr_003,41.01,2797,56,50,2,0,0,demo_synthetic
2026-07-31,brio,brio_cmp_001,brio_ad_003,brio_cr_003,36.12,2466,33,32,1,0,0,demo_synthetic
2026-08-01,brio,brio_cmp_001,brio_ad_003,brio_cr_003,38.01,2417,47,43,6,0,0,demo_synthetic
2026-08-02,brio,brio_cmp_001,brio_ad_003,brio_cr_003,42.86,2471,57,52,4,0,0,demo_synthetic
2026-08-03,brio,brio_cmp_001,brio_ad_003,brio_cr_003,36.97,2470,52,47,2,0,0,demo_synthetic
2026-08-04,brio,brio_cmp_001,brio_ad_003,brio_cr_003,34.5,2455,46,40,1,0,0,demo_synthetic
2026-08-05,brio,brio_cmp_001,brio_ad_003,brio_cr_003,37.08,2348,53,49,2,0,0,demo_synthetic
2026-08-06,brio,brio_cmp_001,brio_ad_003,brio_cr_003,39.96,2987,58,56,0,0,0,demo_synthetic
2026-08-07,brio,brio_cmp_001,brio_ad_003,brio_cr_003,37.44,2690,50,47,1,0,0,demo_synthetic
2026-08-08,brio,brio_cmp_001,brio_ad_003,brio_cr_003,46.24,2865,49,48,2,0,0,demo_synthetic
2026-08-09,brio,brio_cmp_001,brio_ad_003,brio_cr_003,45.98,3044,51,50,2,1,333.43,demo_synthetic
2026-08-10,brio,brio_cmp_001,brio_ad_003,brio_cr_003,31.14,1986,32,26,1,0,0,demo_synthetic
2026-08-11,brio,brio_cmp_001,brio_ad_003,brio_cr_003,39.77,2721,51,48,6,0,0,demo_synthetic
2026-08-12,brio,brio_cmp_001,brio_ad_003,brio_cr_003,34.82,2533,44,38,2,0,0,demo_synthetic
2026-08-13,brio,brio_cmp_001,brio_ad_003,brio_cr_003,44.03,2885,41,40,2,0,0,demo_synthetic
2026-08-14,brio,brio_cmp_001,brio_ad_003,brio_cr_003,40.65,2648,34,30,1,1,282.32,demo_synthetic
2026-08-15,brio,brio_cmp_001,brio_ad_003,brio_cr_003,26.14,1667,23,21,0,0,0,demo_synthetic
2026-08-16,brio,brio_cmp_001,brio_ad_003,brio_cr_003,39.57,2653,33,32,3,1,259.37,demo_synthetic
2026-08-17,brio,brio_cmp_001,brio_ad_003,brio_cr_003,35.22,2363,40,32,0,0,0,demo_synthetic
2026-08-18,brio,brio_cmp_001,brio_ad_003,brio_cr_003,35.64,2474,53,47,1,0,0,demo_synthetic
2026-08-19,brio,brio_cmp_001,brio_ad_003,brio_cr_003,36.98,2606,62,60,2,1,306.16,demo_synthetic
2026-08-20,brio,brio_cmp_001,brio_ad_003,brio_cr_003,34.35,2336,35,34,1,0,0,demo_synthetic
2026-08-21,brio,brio_cmp_001,brio_ad_003,brio_cr_003,41.11,2543,50,45,1,0,0,demo_synthetic
2026-08-22,brio,brio_cmp_001,brio_ad_003,brio_cr_003,45.16,2963,37,35,0,0,0,demo_synthetic
2026-08-23,brio,brio_cmp_001,brio_ad_003,brio_cr_003,47.52,3655,35,27,1,0,0,demo_synthetic
2026-08-24,brio,brio_cmp_001,brio_ad_003,brio_cr_003,36.49,2785,36,30,1,0,0,demo_synthetic
2026-08-25,brio,brio_cmp_001,brio_ad_003,brio_cr_003,40.27,2339,58,55,1,0,0,demo_synthetic
2026-08-26,brio,brio_cmp_001,brio_ad_003,brio_cr_003,37.44,2466,35,29,0,0,0,demo_synthetic
2026-08-27,brio,brio_cmp_001,brio_ad_003,brio_cr_003,34.03,2204,30,29,0,1,327.53,demo_synthetic
2026-08-28,brio,brio_cmp_001,brio_ad_003,brio_cr_003,42.08,2881,44,40,2,0,0,demo_synthetic
2026-08-29,brio,brio_cmp_001,brio_ad_003,brio_cr_003,37.43,2265,34,27,2,0,0,demo_synthetic
2026-08-30,brio,brio_cmp_001,brio_ad_003,brio_cr_003,39.59,2416,36,33,1,0,0,demo_synthetic
2026-08-31,brio,brio_cmp_001,brio_ad_003,brio_cr_003,38.49,2658,47,42,1,0,0,demo_synthetic
2026-09-01,brio,brio_cmp_001,brio_ad_003,brio_cr_003,35.1,2173,33,28,5,0,0,demo_synthetic
2026-09-02,brio,brio_cmp_001,brio_ad_003,brio_cr_003,31.14,1957,36,32,3,0,0,demo_synthetic
2026-09-03,brio,brio_cmp_001,brio_ad_003,brio_cr_003,46.8,2906,35,31,1,0,0,demo_synthetic
2026-09-04,brio,brio_cmp_001,brio_ad_003,brio_cr_003,31.09,2391,40,36,2,0,0,demo_synthetic
2026-09-05,brio,brio_cmp_001,brio_ad_003,brio_cr_003,41.78,2865,45,40,5,0,0,demo_synthetic
2026-09-06,brio,brio_cmp_001,brio_ad_003,brio_cr_003,32.63,1998,34,31,1,0,0,demo_synthetic
2026-09-07,brio,brio_cmp_001,brio_ad_003,brio_cr_003,36.94,2228,42,37,2,0,0,demo_synthetic
2026-09-08,brio,brio_cmp_001,brio_ad_003,brio_cr_003,39.93,2610,44,40,1,0,0,demo_synthetic
2026-09-09,brio,brio_cmp_001,brio_ad_003,brio_cr_003,36.34,2307,30,28,2,0,0,demo_synthetic
2026-09-10,brio,brio_cmp_001,brio_ad_003,brio_cr_003,33.16,2002,34,27,1,0,0,demo_synthetic
2026-09-11,brio,brio_cmp_001,brio_ad_003,brio_cr_003,37.66,2779,50,46,2,0,0,demo_synthetic
2026-09-12,brio,brio_cmp_001,brio_ad_003,brio_cr_003,38.54,2699,56,48,0,0,0,demo_synthetic
2026-09-13,brio,brio_cmp_001,brio_ad_003,brio_cr_003,46.17,2938,54,50,4,0,0,demo_synthetic
2026-07-16,brio,brio_cmp_001,brio_ad_004,brio_cr_004,35.0,1868,21,17,2,0,0,demo_synthetic
2026-07-17,brio,brio_cmp_001,brio_ad_004,brio_cr_004,36.08,1915,28,25,0,0,0,demo_synthetic
2026-07-18,brio,brio_cmp_001,brio_ad_004,brio_cr_004,35.21,2008,40,37,1,0,0,demo_synthetic
2026-07-19,brio,brio_cmp_001,brio_ad_004,brio_cr_004,38.01,2293,26,25,0,1,285.99,demo_synthetic
2026-07-20,brio,brio_cmp_001,brio_ad_004,brio_cr_004,38.2,2074,23,22,1,0,0,demo_synthetic
2026-07-21,brio,brio_cmp_001,brio_ad_004,brio_cr_004,37.67,2202,32,32,2,0,0,demo_synthetic
2026-07-22,brio,brio_cmp_001,brio_ad_004,brio_cr_004,37.16,2173,30,28,0,0,0,demo_synthetic
2026-07-23,brio,brio_cmp_001,brio_ad_004,brio_cr_004,43.11,2457,23,21,1,0,0,demo_synthetic
2026-07-24,brio,brio_cmp_001,brio_ad_004,brio_cr_004,35.57,2056,23,22,1,0,0,demo_synthetic
2026-07-25,brio,brio_cmp_001,brio_ad_004,brio_cr_004,47.51,2582,35,34,2,0,0,demo_synthetic
2026-07-26,brio,brio_cmp_001,brio_ad_004,brio_cr_004,36.8,2010,26,24,0,0,0,demo_synthetic
2026-07-27,brio,brio_cmp_001,brio_ad_004,brio_cr_004,42.91,2318,31,29,4,0,0,demo_synthetic
2026-07-28,brio,brio_cmp_001,brio_ad_004,brio_cr_004,34.6,2125,31,29,0,0,0,demo_synthetic
2026-07-29,brio,brio_cmp_001,brio_ad_004,brio_cr_004,42.72,2309,35,34,2,0,0,demo_synthetic
2026-07-30,brio,brio_cmp_001,brio_ad_004,brio_cr_004,34.82,2042,36,29,0,0,0,demo_synthetic
2026-07-31,brio,brio_cmp_001,brio_ad_004,brio_cr_004,34.28,2078,31,30,1,0,0,demo_synthetic
2026-08-01,brio,brio_cmp_001,brio_ad_004,brio_cr_004,37.85,1984,39,36,2,0,0,demo_synthetic
2026-08-02,brio,brio_cmp_001,brio_ad_004,brio_cr_004,41.45,2335,30,25,2,0,0,demo_synthetic
2026-08-03,brio,brio_cmp_001,brio_ad_004,brio_cr_004,36.91,2200,50,45,1,0,0,demo_synthetic
2026-08-04,brio,brio_cmp_001,brio_ad_004,brio_cr_004,43.23,2465,24,23,1,0,0,demo_synthetic
2026-08-05,brio,brio_cmp_001,brio_ad_004,brio_cr_004,30.16,1685,35,30,1,0,0,demo_synthetic
2026-08-06,brio,brio_cmp_001,brio_ad_004,brio_cr_004,31.1,1842,27,24,2,0,0,demo_synthetic
2026-08-07,brio,brio_cmp_001,brio_ad_004,brio_cr_004,42.11,2182,23,21,1,0,0,demo_synthetic
2026-08-08,brio,brio_cmp_001,brio_ad_004,brio_cr_004,33.67,1995,33,29,1,0,0,demo_synthetic
2026-08-09,brio,brio_cmp_001,brio_ad_004,brio_cr_004,50.1,2707,32,32,2,0,0,demo_synthetic
2026-08-10,brio,brio_cmp_001,brio_ad_004,brio_cr_004,46.08,2568,55,54,3,0,0,demo_synthetic
2026-08-11,brio,brio_cmp_001,brio_ad_004,brio_cr_004,33.03,1845,34,32,1,0,0,demo_synthetic
2026-08-12,brio,brio_cmp_001,brio_ad_004,brio_cr_004,39.86,2318,36,34,1,0,0,demo_synthetic
2026-08-13,brio,brio_cmp_001,brio_ad_004,brio_cr_004,35.85,2046,29,27,2,0,0,demo_synthetic
2026-08-14,brio,brio_cmp_001,brio_ad_004,brio_cr_004,39.61,2205,39,33,0,0,0,demo_synthetic
2026-08-15,brio,brio_cmp_001,brio_ad_004,brio_cr_004,44.58,2494,21,18,0,0,0,demo_synthetic
2026-08-16,brio,brio_cmp_001,brio_ad_004,brio_cr_004,39.67,2123,32,32,1,0,0,demo_synthetic
2026-08-17,brio,brio_cmp_001,brio_ad_004,brio_cr_004,40.77,2264,27,18,1,0,0,demo_synthetic
2026-08-18,brio,brio_cmp_001,brio_ad_004,brio_cr_004,40.38,2210,41,38,1,1,322.12,demo_synthetic
2026-08-19,brio,brio_cmp_001,brio_ad_004,brio_cr_004,40.41,2536,44,40,0,0,0,demo_synthetic
2026-08-20,brio,brio_cmp_001,brio_ad_004,brio_cr_004,32.75,1974,31,28,1,0,0,demo_synthetic
2026-08-21,brio,brio_cmp_001,brio_ad_004,brio_cr_004,34.27,1755,21,20,1,0,0,demo_synthetic
2026-08-22,brio,brio_cmp_001,brio_ad_004,brio_cr_004,42.27,2310,27,22,1,0,0,demo_synthetic
2026-08-23,brio,brio_cmp_001,brio_ad_004,brio_cr_004,44.74,2564,47,45,1,0,0,demo_synthetic
2026-08-24,brio,brio_cmp_001,brio_ad_004,brio_cr_004,50.04,2754,38,37,1,0,0,demo_synthetic
2026-08-25,brio,brio_cmp_001,brio_ad_004,brio_cr_004,38.65,2554,43,41,2,0,0,demo_synthetic
2026-08-26,brio,brio_cmp_001,brio_ad_004,brio_cr_004,41.16,2406,44,39,2,0,0,demo_synthetic
2026-08-27,brio,brio_cmp_001,brio_ad_004,brio_cr_004,40.15,2244,32,29,1,0,0,demo_synthetic
2026-08-28,brio,brio_cmp_001,brio_ad_004,brio_cr_004,33.66,1748,29,29,0,0,0,demo_synthetic
2026-08-29,brio,brio_cmp_001,brio_ad_004,brio_cr_004,33.18,1921,32,30,1,0,0,demo_synthetic
2026-08-30,brio,brio_cmp_001,brio_ad_004,brio_cr_004,36.46,2235,29,24,1,0,0,demo_synthetic
2026-08-31,brio,brio_cmp_001,brio_ad_004,brio_cr_004,45.39,2381,43,35,3,0,0,demo_synthetic
2026-09-01,brio,brio_cmp_001,brio_ad_004,brio_cr_004,38.8,2019,33,29,1,0,0,demo_synthetic
2026-09-02,brio,brio_cmp_001,brio_ad_004,brio_cr_004,36.36,1979,27,20,0,0,0,demo_synthetic
2026-09-03,brio,brio_cmp_001,brio_ad_004,brio_cr_004,44.19,2429,41,34,2,0,0,demo_synthetic
